product_id,product_name,price,brand,description,rating,rating_count,user_id,user_name
8e85336f,Soap Dispenser,587.76,Brand 46,"A high-quality soap dispenser made by Brand 46. Durable and stylish, perfect for modern bathrooms.",3.9,97,U0347,User_890
78e03cc1,Hand Shower,965.57,Brand 27,"A high-quality hand shower made by Brand 27. Durable and stylish, perfect for modern bathrooms.",3.1,95,U0195,User_181
1b7a250d,Drain Cover,586.0,Brand 10,"A high-quality drain cover made by Brand 10. Durable and stylish, perfect for modern bathrooms.",4.3,98,U0106,User_620
07d0514d,Faucet,173.81,Brand 49,"A high-quality faucet made by Brand 49. Durable and stylish, perfect for modern bathrooms.",4.5,432,U0722,User_881
819d3558,Shower Curtain,954.62,Brand 22,"A high-quality shower curtain made by Brand 22. Durable and stylish, perfect for modern bathrooms.",3.6,197,U0801,User_678
916879aa,Floor Drain,532.0,Brand 12,"A high-quality floor drain made by Brand 12. Durable and stylish, perfect for modern bathrooms.",4.6,109,U0426,User_784
21ba6817,Hand Dryer,50.8,Brand 33,"A high-quality hand dryer made by Brand 33. Durable and stylish, perfect for modern bathrooms.",3.2,32,U0465,User_307
aeaa4ad4,Toilet Paper Holder,299.54,Brand 50,"A high-quality toilet paper holder made by Brand 50. Durable and stylish, perfect for modern bathrooms.",4.5,140,U0071,User_449
3bf6a289,Cabinet,819.86,Brand 18,"A high-quality cabinet made by Brand 18. Durable and stylish, perfect for modern bathrooms.",3.6,470,U0632,User_553
a73ac691,Overhead Shower,326.47,Brand 10,"A high-quality overhead shower made by Brand 10. Durable and stylish, perfect for modern bathrooms.",3.5,217,U0059,User_478
cafaacfc,Bathtub,569.69,Brand 33,"A high-quality bathtub made by Brand 33. Durable and stylish, perfect for modern bathrooms.",4.3,181,U0577,User_906
92a2a852,Wall Mount,187.54,Brand 2,"A high-quality wall mount made by Brand 2. Durable and stylish, perfect for modern bathrooms.",4.5,306,U0193,User_796
b9b996dc,Towel Rack,74.26,Brand 45,"A high-quality towel rack made by Brand 45. Durable and stylish, perfect for modern bathrooms.",3.6,467,U0278,User_458
2ebbccee,Mirror,467.36,Brand 12,"A high-quality mirror made by Brand 12. Durable and stylish, perfect for modern bathrooms.",4.0,259,U0309,User_899
d686984d,Wall Mount,301.13,Brand 31,"A high-quality wall mount made by Brand 31. Durable and stylish, perfect for modern bathrooms.",3.9,351,U0076,User_501
3a6f0dda,Hand Shower,556.02,Brand 49,"A high-quality hand shower made by Brand 49. Durable and stylish, perfect for modern bathrooms.",3.1,201,U0764,User_178
868f5670,Pipe Connector,458.13,Brand 22,"A high-quality pipe connector made by Brand 22. Durable and stylish, perfect for modern bathrooms.",3.2,48,U0455,User_409
42a1f424,Plunger,786.58,Brand 26,"A high-quality plunger made by Brand 26. Durable and stylish, perfect for modern bathrooms.",3.1,239,U0576,User_595
e1ddf774,Mirror,94.61,Brand 36,"A high-quality mirror made by Brand 36. Durable and stylish, perfect for modern bathrooms.",4.7,352,U0082,User_399
460e86a1,Drain Cover,915.21,Brand 14,"A high-quality drain cover made by Brand 14. Durable and stylish, perfect for modern bathrooms.",4.1,232,U0050,User_574
38f88a11,Heated Towel Rail,663.01,Brand 2,"A high-quality heated towel rail made by Brand 2. Durable and stylish, perfect for modern bathrooms.",3.8,425,U0846,User_931
e0a0c766,Shower Panel,810.87,Brand 41,"A high-quality shower panel made by Brand 41. Durable and stylish, perfect for modern bathrooms.",4.9,37,U0615,User_227
57cf1f5a,Shower Enclosure,978.95,Brand 18,"A high-quality shower enclosure made by Brand 18. Durable and stylish, perfect for modern bathrooms.",5.0,290,U0476,User_319
ee4a4eec,Hand Dryer,383.71,Brand 22,"A high-quality hand dryer made by Brand 22. Durable and stylish, perfect for modern bathrooms.",4.1,390,U0368,User_228
3e5bf1f6,Toilet,618.04,Brand 8,"A high-quality toilet made by Brand 8. Durable and stylish, perfect for modern bathrooms.",3.7,66,U0333,User_264
0961052b,Shower Panel,409.48,Brand 23,"A high-quality shower panel made by Brand 23. Durable and stylish, perfect for modern bathrooms.",4.5,229,U0166,User_428
1f9e5b3d,Toilet Seat,429.27,Brand 28,"A high-quality toilet seat made by Brand 28. Durable and stylish, perfect for modern bathrooms.",4.6,181,U0540,User_631
ee50b7ee,Showerhead,508.76,Brand 50,"A high-quality showerhead made by Brand 50. Durable and stylish, perfect for modern bathrooms.",3.9,11,U0087,User_939
73c13cab,Shower Curtain,706.29,Brand 8,"A high-quality shower curtain made by Brand 8. Durable and stylish, perfect for modern bathrooms.",3.2,427,U0148,User_86
98540871,Wall Tiles,126.73,Brand 29,"A high-quality wall tiles made by Brand 29. Durable and stylish, perfect for modern bathrooms.",3.1,185,U0686,User_917
bfd9df45,Heated Towel Rail,111.92,Brand 35,"A high-quality heated towel rail made by Brand 35. Durable and stylish, perfect for modern bathrooms.",4.5,100,U0116,User_250
af19cb75,Hand Shower,862.38,Brand 8,"A high-quality hand shower made by Brand 8. Durable and stylish, perfect for modern bathrooms.",4.3,261,U0548,User_418
21cbd9be,Toilet Paper Holder,851.45,Brand 19,"A high-quality toilet paper holder made by Brand 19. Durable and stylish, perfect for modern bathrooms.",4.7,225,U0119,User_385
0aa30226,Shower Enclosure,572.43,Brand 50,"A high-quality shower enclosure made by Brand 50. Durable and stylish, perfect for modern bathrooms.",4.0,220,U0776,User_970
9348bf0c,Toilet Seat,862.99,Brand 11,"A high-quality toilet seat made by Brand 11. Durable and stylish, perfect for modern bathrooms.",4.8,128,U0210,User_222
7f3ddac3,Floor Drain,686.93,Brand 9,"A high-quality floor drain made by Brand 9. Durable and stylish, perfect for modern bathrooms.",3.7,326,U0175,User_682
be117fdb,Floor Drain,503.49,Brand 29,"A high-quality floor drain made by Brand 29. Durable and stylish, perfect for modern bathrooms.",3.3,425,U0659,User_308
4c627e9f,Corner Shelf,288.47,Brand 10,"A high-quality corner shelf made by Brand 10. Durable and stylish, perfect for modern bathrooms.",4.4,318,U0092,User_287
ecf00010,Toilet Paper Holder,765.06,Brand 25,"A high-quality toilet paper holder made by Brand 25. Durable and stylish, perfect for modern bathrooms.",3.6,27,U0545,User_883
ad95df5b,Drain Cover,629.55,Brand 1,"A high-quality drain cover made by Brand 1. Durable and stylish, perfect for modern bathrooms.",4.4,118,U0777,User_160
bf6fba42,Pipe Connector,753.03,Brand 2,"A high-quality pipe connector made by Brand 2. Durable and stylish, perfect for modern bathrooms.",3.2,332,U0296,User_936
aabf7e05,Shower Curtain,812.84,Brand 38,"A high-quality shower curtain made by Brand 38. Durable and stylish, perfect for modern bathrooms.",3.7,462,U0283,User_416
80069c9a,Water Filter,535.56,Brand 44,"A high-quality water filter made by Brand 44. Durable and stylish, perfect for modern bathrooms.",3.8,88,U0229,User_948
14e00191,Plunger,454.28,Brand 24,"A high-quality plunger made by Brand 24. Durable and stylish, perfect for modern bathrooms.",3.9,57,U0459,User_992
468746c0,Soap Dispenser,287.86,Brand 26,"A high-quality soap dispenser made by Brand 26. Durable and stylish, perfect for modern bathrooms.",3.2,372,U0668,User_981
ac6e2eb7,Hand Shower,343.38,Brand 7,"A high-quality hand shower made by Brand 7. Durable and stylish, perfect for modern bathrooms.",4.9,76,U0575,User_659
45ed11aa,Toilet,102.7,Brand 43,"A high-quality toilet made by Brand 43. Durable and stylish, perfect for modern bathrooms.",4.4,189,U0484,User_404
80ee59d6,Mirror,476.58,Brand 7,"A high-quality mirror made by Brand 7. Durable and stylish, perfect for modern bathrooms.",3.2,47,U0585,User_992
821db06c,Toilet Paper Holder,772.19,Brand 27,"A high-quality toilet paper holder made by Brand 27. Durable and stylish, perfect for modern bathrooms.",3.8,347,U0177,User_162
2cae2d05,Pipe Connector,748.7,Brand 46,"A high-quality pipe connector made by Brand 46. Durable and stylish, perfect for modern bathrooms.",3.5,467,U0417,User_372
08ff3630,Bathtub,237.38,Brand 28,"A high-quality bathtub made by Brand 28. Durable and stylish, perfect for modern bathrooms.",4.1,231,U0606,User_983
73092310,Corner Shelf,795.0,Brand 25,"A high-quality corner shelf made by Brand 25. Durable and stylish, perfect for modern bathrooms.",4.4,104,U0170,User_491
343c0981,Wall Tiles,637.02,Brand 48,"A high-quality wall tiles made by Brand 48. Durable and stylish, perfect for modern bathrooms.",3.0,220,U0066,User_560
387842fe,Floor Drain,87.59,Brand 30,"A high-quality floor drain made by Brand 30. Durable and stylish, perfect for modern bathrooms.",4.6,162,U0268,User_40
40c9f0b7,Mirror,304.75,Brand 38,"A high-quality mirror made by Brand 38. Durable and stylish, perfect for modern bathrooms.",4.5,322,U0681,User_449
6551fd84,Vanity Unit,673.11,Brand 18,"A high-quality vanity unit made by Brand 18. Durable and stylish, perfect for modern bathrooms.",4.8,354,U0012,User_883
f5f9ae55,Vanity Unit,632.18,Brand 26,"A high-quality vanity unit made by Brand 26. Durable and stylish, perfect for modern bathrooms.",4.5,141,U0577,User_3
050ec4ac,Hand Dryer,676.25,Brand 34,"A high-quality hand dryer made by Brand 34. Durable and stylish, perfect for modern bathrooms.",3.0,459,U0732,User_221
64c315a5,Vanity Unit,630.76,Brand 21,"A high-quality vanity unit made by Brand 21. Durable and stylish, perfect for modern bathrooms.",3.0,414,U0848,User_352
e43b8da1,Shower Curtain,810.92,Brand 36,"A high-quality shower curtain made by Brand 36. Durable and stylish, perfect for modern bathrooms.",3.6,305,U0079,User_101
8e85336f,Soap Dispenser,587.76,Brand 46,"A high-quality soap dispenser made by Brand 46. Durable and stylish, perfect for modern bathrooms.",3.9,97,U0483,User_172
7905f500,Cabinet,694.12,Brand 40,"A high-quality cabinet made by Brand 40. Durable and stylish, perfect for modern bathrooms.",3.5,482,U0787,User_252
f82f9c35,Wall Mount,545.67,Brand 10,"A high-quality wall mount made by Brand 10. Durable and stylish, perfect for modern bathrooms.",4.1,290,U0221,User_760
80d57bd9,Wall Mount,152.21,Brand 23,"A high-quality wall mount made by Brand 23. Durable and stylish, perfect for modern bathrooms.",4.6,119,U0969,User_93
9a600346,Sink,529.93,Brand 45,"A high-quality sink made by Brand 45. Durable and stylish, perfect for modern bathrooms.",3.6,492,U0363,User_272
e2e3954a,Bathtub,554.35,Brand 16,"A high-quality bathtub made by Brand 16. Durable and stylish, perfect for modern bathrooms.",3.4,39,U0536,User_491
32518301,Toilet Brush,755.25,Brand 45,"A high-quality toilet brush made by Brand 45. Durable and stylish, perfect for modern bathrooms.",3.1,215,U0036,User_746
ceebdfda,Floor Drain,553.98,Brand 3,"A high-quality floor drain made by Brand 3. Durable and stylish, perfect for modern bathrooms.",3.7,359,U0560,User_395
2df497bc,Corner Shelf,402.15,Brand 5,"A high-quality corner shelf made by Brand 5. Durable and stylish, perfect for modern bathrooms.",4.1,434,U0857,User_615
0130fa8d,Shower Curtain,508.98,Brand 5,"A high-quality shower curtain made by Brand 5. Durable and stylish, perfect for modern bathrooms.",3.3,156,U0895,User_582
bb3d95cf,Toilet Brush,176.03,Brand 31,"A high-quality toilet brush made by Brand 31. Durable and stylish, perfect for modern bathrooms.",3.4,39,U0559,User_42
62274585,Pipe Connector,790.85,Brand 37,"A high-quality pipe connector made by Brand 37. Durable and stylish, perfect for modern bathrooms.",3.8,160,U0159,User_772
e274654b,Showerhead,56.69,Brand 43,"A high-quality showerhead made by Brand 43. Durable and stylish, perfect for modern bathrooms.",3.9,45,U0094,User_569
916879aa,Floor Drain,532.0,Brand 12,"A high-quality floor drain made by Brand 12. Durable and stylish, perfect for modern bathrooms.",4.6,109,U0950,User_301
8a745f16,Toilet,508.14,Brand 2,"A high-quality toilet made by Brand 2. Durable and stylish, perfect for modern bathrooms.",5.0,146,U0750,User_518
ff7c961a,Faucet,585.36,Brand 6,"A high-quality faucet made by Brand 6. Durable and stylish, perfect for modern bathrooms.",4.9,127,U0459,User_797
cdde1bf7,Shower Enclosure,992.35,Brand 30,"A high-quality shower enclosure made by Brand 30. Durable and stylish, perfect for modern bathrooms.",3.3,252,U0070,User_849
9ab6aeac,Bathtub,683.72,Brand 22,"A high-quality bathtub made by Brand 22. Durable and stylish, perfect for modern bathrooms.",3.8,218,U0493,User_618
c74dd562,Bathtub,99.18,Brand 42,"A high-quality bathtub made by Brand 42. Durable and stylish, perfect for modern bathrooms.",4.6,205,U0884,User_162
f2187e32,Bidet,630.49,Brand 50,"A high-quality bidet made by Brand 50. Durable and stylish, perfect for modern bathrooms.",4.2,91,U0819,User_119
08768f10,Hand Shower,249.16,Brand 42,"A high-quality hand shower made by Brand 42. Durable and stylish, perfect for modern bathrooms.",4.3,466,U0564,User_910
bde3663d,Water Filter,779.14,Brand 3,"A high-quality water filter made by Brand 3. Durable and stylish, perfect for modern bathrooms.",3.1,324,U0498,User_251
da9362f2,Overhead Shower,340.86,Brand 39,"A high-quality overhead shower made by Brand 39. Durable and stylish, perfect for modern bathrooms.",3.1,72,U0519,User_242
dd7ca8f2,Hand Shower,121.33,Brand 5,"A high-quality hand shower made by Brand 5. Durable and stylish, perfect for modern bathrooms.",3.4,330,U0729,User_884
819d3558,Shower Curtain,954.62,Brand 22,"A high-quality shower curtain made by Brand 22. Durable and stylish, perfect for modern bathrooms.",3.6,197,U0147,User_157
131dec46,Plunger,611.11,Brand 39,"A high-quality plunger made by Brand 39. Durable and stylish, perfect for modern bathrooms.",4.4,129,U0375,User_416
4312b3e8,Plunger,60.79,Brand 23,"A high-quality plunger made by Brand 23. Durable and stylish, perfect for modern bathrooms.",4.4,162,U0942,User_733
d6b42f59,Bathroom Scale,694.61,Brand 41,"A high-quality bathroom scale made by Brand 41. Durable and stylish, perfect for modern bathrooms.",3.2,334,U0909,User_20
f3163f33,Toilet Brush,568.25,Brand 8,"A high-quality toilet brush made by Brand 8. Durable and stylish, perfect for modern bathrooms.",3.3,277,U0096,User_142
4ed64542,Vanity Unit,169.04,Brand 16,"A high-quality vanity unit made by Brand 16. Durable and stylish, perfect for modern bathrooms.",4.4,281,U0847,User_138
5ccdf74a,Plunger,823.82,Brand 12,"A high-quality plunger made by Brand 12. Durable and stylish, perfect for modern bathrooms.",4.2,129,U0477,User_713
7782487c,Sink,245.89,Brand 36,"A high-quality sink made by Brand 36. Durable and stylish, perfect for modern bathrooms.",4.7,287,U0946,User_936
11be7d83,Bidet,397.1,Brand 36,"A high-quality bidet made by Brand 36. Durable and stylish, perfect for modern bathrooms.",4.6,27,U0075,User_378
305a2d5b,Floor Drain,890.24,Brand 6,"A high-quality floor drain made by Brand 6. Durable and stylish, perfect for modern bathrooms.",3.1,282,U0807,User_56
0defa0c9,Toilet,240.22,Brand 4,"A high-quality toilet made by Brand 4. Durable and stylish, perfect for modern bathrooms.",4.1,475,U0340,User_143
b9996ea5,Shower Panel,50.57,Brand 16,"A high-quality shower panel made by Brand 16. Durable and stylish, perfect for modern bathrooms.",3.1,472,U0317,User_811
91196d7a,Mirror,917.27,Brand 8,"A high-quality mirror made by Brand 8. Durable and stylish, perfect for modern bathrooms.",4.5,415,U0003,User_348
a3b116b2,Plunger,439.54,Brand 45,"A high-quality plunger made by Brand 45. Durable and stylish, perfect for modern bathrooms.",4.2,480,U0421,User_240
b11906d2,Plunger,258.75,Brand 7,"A high-quality plunger made by Brand 7. Durable and stylish, perfect for modern bathrooms.",3.2,280,U0814,User_218
550e30bc,Bathtub,878.89,Brand 46,"A high-quality bathtub made by Brand 46. Durable and stylish, perfect for modern bathrooms.",3.7,494,U0440,User_221
45f2801f,Shower Panel,901.18,Brand 13,"A high-quality shower panel made by Brand 13. Durable and stylish, perfect for modern bathrooms.",4.5,95,U0768,User_913
cd19d59a,Toilet Seat,896.3,Brand 23,"A high-quality toilet seat made by Brand 23. Durable and stylish, perfect for modern bathrooms.",4.7,270,U0903,User_839
1980b8cd,Wall Tiles,302.75,Brand 11,"A high-quality wall tiles made by Brand 11. Durable and stylish, perfect for modern bathrooms.",3.8,27,U0321,User_922
08768f10,Hand Shower,249.16,Brand 42,"A high-quality hand shower made by Brand 42. Durable and stylish, perfect for modern bathrooms.",4.3,466,U0376,User_917
951215c9,Corner Shelf,479.08,Brand 9,"A high-quality corner shelf made by Brand 9. Durable and stylish, perfect for modern bathrooms.",4.3,121,U0935,User_168
d9f34907,Cabinet,485.53,Brand 9,"A high-quality cabinet made by Brand 9. Durable and stylish, perfect for modern bathrooms.",3.4,7,U0134,User_697
e92394ac,Wall Mount,902.64,Brand 33,"A high-quality wall mount made by Brand 33. Durable and stylish, perfect for modern bathrooms.",3.8,383,U0592,User_692
3881eb64,Toilet Seat,354.64,Brand 47,"A high-quality toilet seat made by Brand 47. Durable and stylish, perfect for modern bathrooms.",3.9,496,U0996,User_199
47fb9097,Water Filter,488.59,Brand 50,"A high-quality water filter made by Brand 50. Durable and stylish, perfect for modern bathrooms.",4.8,473,U0657,User_96
db73c4d8,Overhead Shower,414.15,Brand 48,"A high-quality overhead shower made by Brand 48. Durable and stylish, perfect for modern bathrooms.",4.4,35,U0976,User_756
19d4b4b1,Overhead Shower,442.28,Brand 49,"A high-quality overhead shower made by Brand 49. Durable and stylish, perfect for modern bathrooms.",4.2,466,U0923,User_800
314c61d1,Plunger,469.43,Brand 9,"A high-quality plunger made by Brand 9. Durable and stylish, perfect for modern bathrooms.",4.7,32,U0833,User_538
bdb45efc,Toilet Brush,346.19,Brand 12,"A high-quality toilet brush made by Brand 12. Durable and stylish, perfect for modern bathrooms.",3.6,40,U0191,User_229
8a81e46e,Toilet Paper Holder,389.52,Brand 41,"A high-quality toilet paper holder made by Brand 41. Durable and stylish, perfect for modern bathrooms.",3.7,481,U0404,User_886
9f7894cd,Pipe Connector,141.64,Brand 16,"A high-quality pipe connector made by Brand 16. Durable and stylish, perfect for modern bathrooms.",4.1,209,U0748,User_204
fad3f93e,Showerhead,727.99,Brand 38,"A high-quality showerhead made by Brand 38. Durable and stylish, perfect for modern bathrooms.",5.0,351,U0747,User_662
13b58f6c,Cabinet,206.97,Brand 35,"A high-quality cabinet made by Brand 35. Durable and stylish, perfect for modern bathrooms.",3.4,219,U0033,User_559
e165e73d,Mirror,959.75,Brand 25,"A high-quality mirror made by Brand 25. Durable and stylish, perfect for modern bathrooms.",4.5,21,U0127,User_829
74daeffb,Plunger,107.51,Brand 35,"A high-quality plunger made by Brand 35. Durable and stylish, perfect for modern bathrooms.",4.8,172,U0499,User_163
7e2befe1,Hand Dryer,953.82,Brand 40,"A high-quality hand dryer made by Brand 40. Durable and stylish, perfect for modern bathrooms.",3.6,191,U0424,User_809
4ba189fc,Mirror,186.3,Brand 17,"A high-quality mirror made by Brand 17. Durable and stylish, perfect for modern bathrooms.",4.9,222,U0435,User_296
9c98e15e,Shower Panel,862.99,Brand 48,"A high-quality shower panel made by Brand 48. Durable and stylish, perfect for modern bathrooms.",4.4,51,U0095,User_905
b0b7ea8a,Faucet,893.35,Brand 10,"A high-quality faucet made by Brand 10. Durable and stylish, perfect for modern bathrooms.",3.5,122,U0119,User_558
e92394ac,Wall Mount,902.64,Brand 33,"A high-quality wall mount made by Brand 33. Durable and stylish, perfect for modern bathrooms.",3.8,383,U0687,User_543
de5a4001,Drain Cover,675.06,Brand 41,"A high-quality drain cover made by Brand 41. Durable and stylish, perfect for modern bathrooms.",4.5,500,U0785,User_137
681ce1d0,Overhead Shower,554.45,Brand 28,"A high-quality overhead shower made by Brand 28. Durable and stylish, perfect for modern bathrooms.",4.5,213,U0411,User_835
36b946a5,Toilet Seat,236.34,Brand 9,"A high-quality toilet seat made by Brand 9. Durable and stylish, perfect for modern bathrooms.",4.4,412,U0958,User_648
ffc684ca,Toilet Brush,400.84,Brand 36,"A high-quality toilet brush made by Brand 36. Durable and stylish, perfect for modern bathrooms.",3.8,328,U0039,User_458
4312b3e8,Plunger,60.79,Brand 23,"A high-quality plunger made by Brand 23. Durable and stylish, perfect for modern bathrooms.",4.4,162,U0387,User_944
e75d5aa5,Heated Towel Rail,636.01,Brand 37,"A high-quality heated towel rail made by Brand 37. Durable and stylish, perfect for modern bathrooms.",4.1,115,U0305,User_826
55053e34,Corner Shelf,955.42,Brand 29,"A high-quality corner shelf made by Brand 29. Durable and stylish, perfect for modern bathrooms.",4.1,36,U0619,User_831
ae975cc5,Toilet Brush,741.66,Brand 3,"A high-quality toilet brush made by Brand 3. Durable and stylish, perfect for modern bathrooms.",4.2,119,U0557,User_819
aeaa4ad4,Toilet Paper Holder,299.54,Brand 50,"A high-quality toilet paper holder made by Brand 50. Durable and stylish, perfect for modern bathrooms.",4.5,140,U0009,User_228
d4dd0b97,Floor Drain,675.32,Brand 50,"A high-quality floor drain made by Brand 50. Durable and stylish, perfect for modern bathrooms.",3.2,92,U0755,User_564
4ed73e8c,Water Filter,752.05,Brand 19,"A high-quality water filter made by Brand 19. Durable and stylish, perfect for modern bathrooms.",4.5,226,U0372,User_525
a80ad0af,Sink,276.75,Brand 38,"A high-quality sink made by Brand 38. Durable and stylish, perfect for modern bathrooms.",3.6,94,U0771,User_676
8808accc,Plunger,630.17,Brand 28,"A high-quality plunger made by Brand 28. Durable and stylish, perfect for modern bathrooms.",4.6,308,U0074,User_722
b2d2c84d,Toilet Seat,717.15,Brand 36,"A high-quality toilet seat made by Brand 36. Durable and stylish, perfect for modern bathrooms.",3.9,452,U0157,User_752
32518301,Toilet Brush,755.25,Brand 45,"A high-quality toilet brush made by Brand 45. Durable and stylish, perfect for modern bathrooms.",3.1,215,U0949,User_826
